date,open,high,low,close,漲跌,漲跌.1,振幅,張數,筆數,均張,億元,外資,投信,自營,合計
,541.0,543.0,536.0,542.0,0.0,0.0,1.29,"29,613","44,555",0.66,160.0,"-8,703",806,"1,505","-6,393"
,543.0,545.0,540.0,542.0,1.0,0.18,0.92,"16,341","20,787",0.79,88.6,"-1,001",-460,113,"-1,348"
,540.0,543.0,537.0,541.0,-5.0,-0.92,1.1,"24,728","44,024",0.56,133.0,"-7,790","1,566",190,"-6,035"
,556.0,558.0,546.0,546.0,-5.0,-0.91,2.18,"24,816","33,682",0.74,137.0,"-6,421",217,28.3,"-6,176"
,552.0,554.0,550.0,551.0,-3.0,-0.54,0.72,"18,884","21,572",0.88,104.0,"-1,763",392,-492,"-1,863"
,550.0,557.0,550.0,554.0,2.0,0.36,1.27,"15,088","14,590",1.03,83.6,"-18,113",870,-692,"-17,935"
,558.0,558.0,551.0,552.0,-6.0,-1.08,1.25,"21,168","33,867",0.63,117.0,"-4,790",723,"-1,553","-5,621"
,558.0,561.0,556.0,558.0,4.0,0.72,0.9,"15,608","13,239",1.18,87.2,-744,418,-240,-566
,556.0,560.0,552.0,554.0,-7.0,-1.25,1.43,"29,321","47,739",0.61,163.0,"-10,798",-159,-357,"-11,313"
,567.0,569.0,558.0,561.0,-6.0,-1.06,1.94,"34,496","34,408",1.0,194.0,"-5,003",-44,"-2,035","-7,082"
,565.0,568.0,564.0,567.0,2.0,0.35,0.71,"18,917","13,827",1.37,107.0,879,-83,115,911
,575.0,575.0,560.0,565.0,-2.0,-0.35,2.65,"28,409","28,425",1.0,160.0,"-3,201",-303,499,"-3,005"
,569.0,573.0,565.0,567.0,-2.0,-0.35,1.41,"19,010","19,313",0.98,108.0,"-3,008",-327,504,"-2,831"
,570.0,570.0,566.0,569.0,3.0,0.53,0.71,"13,005","12,672",1.03,74.0,322,-521,297,97.7
,569.0,571.0,563.0,566.0,-3.0,-0.53,1.41,"15,148","21,679",0.7,85.9,"-2,429",-276,-57.4,"-2,762"
,561.0,569.0,561.0,569.0,11.0,1.97,1.43,"22,768","21,119",1.08,129.0,"1,759",-386,195,"1,568"
,557.0,563.0,557.0,558.0,-2.0,-0.36,1.07,"27,657","30,269",0.91,155.0,"-6,013","-1,067",-5.74,"-7,086"
,560.0,563.0,557.0,560.0,-19.0,-3.28,1.04,"52,275","86,810",0.6,293.0,"-23,122",219,-580,"-23,483"
,580.0,584.0,578.0,579.0,-2.0,-0.34,1.03,"15,677","19,382",0.81,91.0,"-4,299",-68,943,"-3,424"
,584.0,587.0,579.0,581.0,0.0,0.0,1.38,"24,910","20,069",1.24,145.0,733,-396,-879,-542
,587.0,588.0,580.0,581.0,-10.0,-1.69,1.35,"22,022","31,079",0.71,129.0,"-4,055",-827,-349,"-5,232"
,588.0,591.0,587.0,591.0,0.0,0.0,0.68,"14,312","18,226",0.79,84.3,"3,744","-1,044","-1,262","1,438"
,589.0,591.0,587.0,591.0,6.0,1.03,0.68,"24,381","26,789",0.91,144.0,"12,484",-172,204,"12,516"
,587.0,590.0,585.0,585.0,7.0,1.21,0.87,"26,878","32,540",0.83,158.0,"12,626",-647,403,"12,382"
,574.0,578.0,572.0,578.0,1.0,0.17,1.04,"16,220","14,426",1.12,93.4,"2,777",1.88,"-1,385","1,395"
,574.0,577.0,570.0,577.0,12.0,2.12,1.24,"18,567","17,795",1.04,107.0,"7,304",173,-306,"7,171"
,567.0,573.0,565.0,565.0,0.0,0.0,1.42,"18,996","17,792",1.07,108.0,-327,-67,-775,"-1,169"
,565.0,572.0,563.0,565.0,0.0,0.0,1.59,"19,859","21,855",0.91,112.0,"-3,669",-185,-100,"-3,955"
,573.0,574.0,565.0,565.0,-17.0,-2.92,1.55,"32,070","60,108",0.53,182.0,"-16,294",-574,-603,"-17,470"
,589.0,589.0,579.0,582.0,-3.0,-0.51,1.71,"15,554","16,504",0.94,90.6,-840,-503,"-1,092","-2,436"
,585.0,585.0,580.0,585.0,6.0,1.04,0.86,"17,777","18,848",0.94,104.0,"4,795","-1,347",-13.1,"3,435"
,578.0,580.0,576.0,579.0,3.0,0.52,0.69,"15,118","15,659",0.97,87.4,"2,359",-305,"1,401","3,455"
,570.0,576.0,568.0,576.0,3.0,0.52,1.4,"33,831","20,529",1.65,194.0,"-2,616",-607,649,"-2,574"
,578.0,580.0,570.0,573.0,-1.0,-0.17,1.74,"18,046","17,649",1.02,104.0,-915,-121,"1,407",371
,579.0,579.0,571.0,574.0,2.0,0.35,1.4,"18,685","15,939",1.17,107.0,"-3,672",-93.5,378,"-3,387"
,570.0,575.0,569.0,572.0,-2.0,-0.35,1.05,"22,447","20,736",1.08,128.0,"-5,350","-2,006",501,"-6,854"
,576.0,578.0,574.0,574.0,-7.0,-1.2,0.69,"29,870","28,167",1.06,172.0,"-5,694",-3,314,"-5,383"
,582.0,585.0,578.0,581.0,-2.0,-0.34,1.2,"23,719","25,132",0.94,138.0,"1,031",-692,590,928
